春日春风春浩荡 龙年龙岁龙腾飞
春雨多情绿大地 金龙展志壮神州
动地惊天龙气象 锦山绣水凤文章
风发龙门春浪暖 日临雁塔晓云开
风来松度龙吟曲 雨过庭余鸟迹书
国策英明增国力 龙年飞跃展龙图
国富民殷龙献瑞 年丰物阜凤还巢
国运国兴凭国策 龙飞龙跃靠龙人
海阔何愁龙跃水 山高岂妒凤朝阳
花柳春风催燕舞 英雄祖国盼龙飞
华堂戏燕春风暖 盛世腾龙国色娇
华夏扬威惊世界 巨龙昂首恃风雷
黄龙行雨腾沧海 紫凤驾云上碧霄
挥毫凤舞千山秀 泼墨龙飞万水腾
江山依旧龙盘踞 世纪更新国富强
蛟龙出海迎红日 紫燕归门报早春
蛟龙腾海风雷激 莺燕闹春杨柳青
金龙报春春风暖 铁手造福福气浓
金龙闹海春潮涌 喜鹊登枝福韵高
金龙献瑞苏千里 绿柳迎春乐万家
锦绣山川春色绣 奔腾江海巨龙腾
九州丽日迎新纪 四海龙吟乐大年
浪翻南海潜龙至 风振紫霄翔凤归
莲花锦地歌妈祖 荆树光天颂九龙
炼塔凌空荣广宇 油龙出海壮神州
龙步青云酬壮志 鹏飞碧宇览神州
龙从百丈潭中起 春自千重锦上来
龙开盛纪新春丽 国展宏图大业娇
龙门丽景催鱼跃 祖国宏图任我描
龙门一跳迎新岁 燕子双飞报好音
龙岁初临勤努力 辰光正亮著先鞭
龙岁迎来新世纪 莺歌唱出好春光
龙腾盛世千家喜 春满神州万物荣
龙腾伟业超千古 鹏舞雄姿搏九霄
龙腾霄汉开新宇 鹊立梅梢报福音
龙腾云海国昌盛 春满人间民泰安
龙族喜迎千禧岁 华人欢度万荣春
梅花香遍神州地 龙步震开盛纪春
梅为春意赋新意 雪向龙年报丰年
梅为小院添春色 鹊向龙年报好音
门对龙山门进宝 户栽花树户生辉
江山故国堪留鹤 华夏昊天可跃龙
龙腾华夏钟灵地 德启门庭毓秀人
无边春色来天地 有志金龙越古今
百尺高梧栖彩凤 万川汇海起蛟龙
北海云生龙对舞 丹山日上凤双飞
丹凤呈祥龙献瑞 红桃贺岁杏迎春 
家和百业兴千福 龙年户纳八方财
龙年天地回元气 国富民强庆太平
凤翥龙翔吟盛世 莺歌燕舞咏阳春
风发龙门春浪暖 日临雁塔晓云开
丹凤朝阳歌盛世 苍龙布雨润神州
动地惊天龙气象 锦山绣水凤文章
风发龙门春浪暖 日临雁塔晓云开
风来松度龙吟曲 雨过庭余鸟迹书
国策英明增国力 龙年飞跃展龙图
国富民殷龙献瑞 年丰物阜凤还巢
国运国兴凭国策 龙飞龙跃靠龙人
海阔何愁龙跃水 山高岂妒凤朝阳
花柳春风催燕舞 英雄祖国盼龙飞
华堂戏燕春风暖 盛世腾龙国色娇
华夏扬威惊世界 巨龙昂首恃风雷
黄龙行雨腾沧海 紫凤驾云上碧霄
挥毫凤舞千山秀 泼墨龙飞万水腾
江山依旧龙盘踞 世纪更新国富强
蛟龙出海迎红日 紫燕归门报早春
蛟龙腾海风雷激 莺燕闹春杨柳青
金龙报春春风暖 铁手造福福气浓
金龙出海迎新岁 彩凤朝阳贺小康
金龙闹海春潮涌 喜鹊登枝福韵高
金龙献瑞苏千里 绿柳迎春乐万家
锦绣山川春色绣 奔腾江海巨龙腾
九天揽月中华志 四海腾龙民族魂
九州丽日迎新纪 四海龙吟乐大年
浪翻南海潜龙至 风振紫霄翔凤归
莲花锦地歌妈祖 荆树光天颂九龙
炼塔凌空荣广宇 油龙出海壮神州
龙步青云酬壮志 鹏飞碧宇览神州
龙从百丈潭中起 春自千重锦上来
龙开盛纪新春丽 国展宏图大业娇
龙门丽景催鱼跃 祖国宏图任我描
龙门一跳迎新岁 燕子双飞报好音
龙岁初临勤努力 辰光正亮著先鞭
龙岁迎来新世纪 莺歌唱出好春光
龙腾盛世千家喜 春满神州万物荣
龙腾伟业超千古 鹏舞雄姿搏九霄
龙腾霄汉开新宇 鹊立梅梢报福音
龙腾云海国昌盛 春满人间民泰安
龙族喜迎千禧岁 华人欢度万荣春
梅花香遍神州地 龙步震开盛纪春
梅为春意赋新意 雪向龙年报丰年
梅为小院添春色 鹊向龙年报好音
九龙飞舞千秋雪 百鸟啼转万树花
梅柳三春飞雏燕 炎黄一脉是神龙
梅花香遍神州地 龙步震开盛世春
岁降金龙蒙化雨 年逢惠政沐春风
世纪春光辉大地 江山国色舞神龙
金龙献瑞苏万物 绿柳迎春喜千家
旭日东升雄狮吼 中华崛起巨龙腾
神州春暖山河秀 华夏龙腾日月新
九州日丽迎新岁 四海龙吟乐大年
